nbeval fitness fitmax
1000 25326.0 30000.0
1000 26247.0 30000.0
1000 26429.0 30000.0
1000 26174.0 30000.0
1000 27115.0 30000.0
1000 23947.0 30000.0
1000 26260.0 30000.0
1000 26266.0 30000.0
1000 24260.0 30000.0
1000 24490.0 30000.0
1000 26713.0 30000.0
1000 25281.0 30000.0
1000 25785.0 30000.0
1000 25278.0 30000.0
1000 25686.0 30000.0
1000 24857.0 30000.0
1000 24892.0 30000.0
1000 24851.0 30000.0
1000 25730.0 30000.0
1000 23295.0 30000.0
1000 24394.0 30000.0
1000 24676.0 30000.0
1000 25833.0 30000.0
1000 24902.0 30000.0
1000 26397.0 30000.0
1000 24455.0 30000.0
1000 25032.0 30000.0
1000 26777.0 30000.0
1000 24766.0 30000.0
1000 27199.0 30000.0
5000 25771.0 30000.0
5000 24357.0 30000.0
5000 24378.0 30000.0
5000 26265.0 30000.0
5000 27481.0 30000.0
5000 25989.0 30000.0
5000 24381.0 30000.0
5000 27082.0 30000.0
5000 24868.0 30000.0
5000 26043.0 30000.0
5000 25003.0 30000.0
5000 25930.0 30000.0
5000 23221.0 30000.0
5000 26133.0 30000.0
5000 27358.0 30000.0
5000 24921.0 30000.0
5000 25994.0 30000.0
5000 26067.0 30000.0
5000 24416.0 30000.0
5000 24823.0 30000.0
5000 25752.0 30000.0
5000 25367.0 30000.0
5000 25857.0 30000.0
5000 25992.0 30000.0
5000 25923.0 30000.0
5000 24720.0 30000.0
5000 24810.0 30000.0
5000 26095.0 30000.0
5000 26072.0 30000.0
5000 25658.0 30000.0
10000 25298.0 30000.0
10000 26074.0 30000.0
10000 25594.0 30000.0
10000 24707.0 30000.0
10000 26044.0 30000.0
10000 25876.0 30000.0
10000 25560.0 30000.0
10000 24490.0 30000.0
10000 26107.0 30000.0
10000 24199.0 30000.0
10000 26367.0 30000.0
10000 25328.0 30000.0
10000 24357.0 30000.0
10000 26304.0 30000.0
10000 26955.0 30000.0
10000 25042.0 30000.0
10000 26242.0 30000.0
10000 22817.0 30000.0
10000 25298.0 30000.0
10000 24441.0 30000.0
10000 24895.0 30000.0
10000 24756.0 30000.0
10000 25761.0 30000.0
10000 24582.0 30000.0
10000 25628.0 30000.0
10000 25670.0 30000.0
10000 25550.0 30000.0
10000 26445.0 30000.0
10000 26045.0 30000.0
10000 26603.0 30000.0
100000 25405.0 30000.0
100000 25281.0 30000.0
100000 25265.0 30000.0
100000 24605.0 30000.0
100000 25095.0 30000.0
100000 24811.0 30000.0
100000 26133.0 30000.0
100000 25945.0 30000.0
100000 24330.0 30000.0
100000 22917.0 30000.0
100000 24880.0 30000.0
100000 24983.0 30000.0
100000 26561.0 30000.0
100000 25497.0 30000.0
100000 26050.0 30000.0
100000 25814.0 30000.0
100000 25214.0 30000.0
100000 24559.0 30000.0
100000 25820.0 30000.0
100000 25683.0 30000.0
100000 25282.0 30000.0
100000 24819.0 30000.0
100000 26277.0 30000.0
100000 25231.0 30000.0
100000 25832.0 30000.0
100000 27275.0 30000.0
100000 26335.0 30000.0
100000 25706.0 30000.0
100000 26504.0 30000.0
100000 25391.0 30000.0
