nbeval fitness fitmax
1000 26995.0 30000.0
1000 25208.0 30000.0
1000 25172.0 30000.0
1000 26076.0 30000.0
1000 25716.0 30000.0
1000 25761.0 30000.0
1000 26273.0 30000.0
1000 25378.0 30000.0
1000 25674.0 30000.0
1000 26364.0 30000.0
1000 26242.0 30000.0
1000 26946.0 30000.0
1000 24135.0 30000.0
1000 24573.0 30000.0
1000 24434.0 30000.0
1000 25303.0 30000.0
1000 26577.0 30000.0
1000 25652.0 30000.0
1000 24849.0 30000.0
1000 26166.0 30000.0
1000 24618.0 30000.0
1000 25192.0 30000.0
1000 25516.0 30000.0
1000 26623.0 30000.0
1000 24984.0 30000.0
1000 24047.0 30000.0
1000 25189.0 30000.0
1000 24887.0 30000.0
1000 25432.0 30000.0
1000 25316.0 30000.0
5000 23465.0 30000.0
5000 24791.0 30000.0
5000 25851.0 30000.0
5000 23846.0 30000.0
5000 24006.0 30000.0
5000 26505.0 30000.0
5000 24817.0 30000.0
5000 24239.0 30000.0
5000 25448.0 30000.0
5000 25263.0 30000.0
5000 24920.0 30000.0
5000 25423.0 30000.0
5000 26713.0 30000.0
5000 25196.0 30000.0
5000 26889.0 30000.0
5000 26015.0 30000.0
5000 24070.0 30000.0
5000 25599.0 30000.0
5000 25641.0 30000.0
5000 25845.0 30000.0
5000 25223.0 30000.0
5000 24486.0 30000.0
5000 26009.0 30000.0
5000 26182.0 30000.0
5000 24809.0 30000.0
5000 24176.0 30000.0
5000 24907.0 30000.0
5000 26279.0 30000.0
5000 25840.0 30000.0
5000 24213.0 30000.0
10000 25888.0 30000.0
10000 24765.0 30000.0
10000 23705.0 30000.0
10000 24653.0 30000.0
10000 25762.0 30000.0
10000 24235.0 30000.0
10000 26301.0 30000.0
10000 25220.0 30000.0
10000 24544.0 30000.0
10000 23380.0 30000.0
10000 24245.0 30000.0
10000 25096.0 30000.0
10000 24602.0 30000.0
10000 27514.0 30000.0
10000 24149.0 30000.0
10000 26537.0 30000.0
10000 26370.0 30000.0
10000 24833.0 30000.0
10000 24518.0 30000.0
10000 25752.0 30000.0
10000 23847.0 30000.0
10000 26359.0 30000.0
10000 23800.0 30000.0
10000 26552.0 30000.0
10000 25305.0 30000.0
10000 23665.0 30000.0
10000 25765.0 30000.0
10000 26414.0 30000.0
10000 26229.0 30000.0
10000 24336.0 30000.0
50000 23422.0 30000.0
50000 25868.0 30000.0
50000 26589.0 30000.0
50000 25997.0 30000.0
50000 25929.0 30000.0
50000 25953.0 30000.0
50000 24424.0 30000.0
50000 25420.0 30000.0
50000 26102.0 30000.0
50000 28172.0 30000.0
50000 26414.0 30000.0
50000 23691.0 30000.0
50000 25926.0 30000.0
50000 24747.0 30000.0
50000 24402.0 30000.0
50000 26418.0 30000.0
50000 24362.0 30000.0
50000 26420.0 30000.0
50000 25414.0 30000.0
50000 26393.0 30000.0
50000 24402.0 30000.0
50000 24894.0 30000.0
50000 25642.0 30000.0
50000 25147.0 30000.0
50000 26112.0 30000.0
50000 24094.0 30000.0
50000 25481.0 30000.0
50000 27075.0 30000.0
50000 25220.0 30000.0
50000 26079.0 30000.0
100000 26067.0 30000.0
100000 25336.0 30000.0
100000 26227.0 30000.0
100000 25844.0 30000.0
100000 24467.0 30000.0
100000 25477.0 30000.0
100000 24791.0 30000.0
100000 26467.0 30000.0
100000 25600.0 30000.0
100000 25492.0 30000.0
100000 25619.0 30000.0
100000 25983.0 30000.0
100000 26950.0 30000.0
100000 25315.0 30000.0
100000 25178.0 30000.0
100000 25734.0 30000.0
100000 25950.0 30000.0
100000 26670.0 30000.0
100000 25048.0 30000.0
100000 25866.0 30000.0
100000 25388.0 30000.0
100000 24388.0 30000.0
100000 25161.0 30000.0
100000 24030.0 30000.0
100000 24029.0 30000.0
100000 25655.0 30000.0
100000 24248.0 30000.0
100000 26161.0 30000.0
100000 24664.0 30000.0
100000 26596.0 30000.0
