nbeval fitness fitmax
1000 25062.0 30000.0
1000 24843.0 30000.0
1000 25007.0 30000.0
1000 25569.0 30000.0
1000 25923.0 30000.0
1000 23769.0 30000.0
1000 26241.0 30000.0
1000 25039.0 30000.0
1000 25278.0 30000.0
1000 24404.0 30000.0
1000 25724.0 30000.0
1000 23224.0 30000.0
1000 26852.0 30000.0
1000 25889.0 30000.0
1000 26503.0 30000.0
1000 27038.0 30000.0
1000 24678.0 30000.0
1000 24716.0 30000.0
1000 25597.0 30000.0
1000 25737.0 30000.0
1000 25676.0 30000.0
1000 26697.0 30000.0
1000 24474.0 30000.0
1000 25054.0 30000.0
1000 26410.0 30000.0
1000 24332.0 30000.0
1000 25281.0 30000.0
1000 25588.0 30000.0
1000 26329.0 30000.0
1000 25562.0 30000.0
5000 27579.0 30000.0
5000 25116.0 30000.0
5000 27647.0 30000.0
5000 23720.0 30000.0
5000 26414.0 30000.0
5000 25451.0 30000.0
5000 25417.0 30000.0
5000 25912.0 30000.0
5000 25037.0 30000.0
5000 25909.0 30000.0
5000 24926.0 30000.0
5000 25345.0 30000.0
5000 25579.0 30000.0
5000 25531.0 30000.0
5000 26408.0 30000.0
5000 25344.0 30000.0
5000 26116.0 30000.0
5000 27785.0 30000.0
5000 25368.0 30000.0
5000 25891.0 30000.0
5000 25787.0 30000.0
5000 25569.0 30000.0
5000 25424.0 30000.0
5000 25200.0 30000.0
5000 25505.0 30000.0
5000 25903.0 30000.0
5000 25314.0 30000.0
5000 26433.0 30000.0
5000 25076.0 30000.0
5000 26004.0 30000.0
10000 24420.0 30000.0
10000 26792.0 30000.0
10000 25184.0 30000.0
10000 25923.0 30000.0
10000 26535.0 30000.0
10000 26101.0 30000.0
10000 25990.0 30000.0
10000 26302.0 30000.0
10000 25988.0 30000.0
10000 26256.0 30000.0
10000 25423.0 30000.0
10000 25589.0 30000.0
10000 25690.0 30000.0
10000 26608.0 30000.0
10000 25059.0 30000.0
10000 25288.0 30000.0
10000 27460.0 30000.0
10000 25294.0 30000.0
10000 25994.0 30000.0
10000 25541.0 30000.0
10000 26336.0 30000.0
10000 25337.0 30000.0
10000 25777.0 30000.0
10000 25932.0 30000.0
10000 27286.0 30000.0
10000 25940.0 30000.0
10000 26318.0 30000.0
10000 27894.0 30000.0
10000 26300.0 30000.0
10000 26177.0 30000.0
50000 26945.0 30000.0
50000 26839.0 30000.0
50000 27108.0 30000.0
50000 27391.0 30000.0
50000 26965.0 30000.0
50000 28477.0 30000.0
50000 28511.0 30000.0
50000 26919.0 30000.0
50000 28076.0 30000.0
50000 27733.0 30000.0
50000 27722.0 30000.0
50000 27030.0 30000.0
50000 26418.0 30000.0
50000 27588.0 30000.0
50000 26409.0 30000.0
50000 26055.0 30000.0
50000 27361.0 30000.0
50000 28137.0 30000.0
50000 26765.0 30000.0
50000 27731.0 30000.0
50000 27869.0 30000.0
50000 27216.0 30000.0
50000 28716.0 30000.0
50000 28016.0 30000.0
50000 27257.0 30000.0
50000 28755.0 30000.0
50000 26957.0 30000.0
50000 28000.0 30000.0
50000 27171.0 30000.0
50000 28357.0 30000.0
100000 30087.0 30000.0
100000 30103.0 30000.0
100000 27822.0 30000.0
100000 29929.0 30000.0
100000 30011.0 30000.0
100000 30041.0 30000.0
100000 30085.0 30000.0
100000 30017.0 30000.0
100000 28125.0 30000.0
100000 30007.0 30000.0
100000 28827.0 30000.0
100000 30022.0 30000.0
100000 30010.0 30000.0
100000 30029.0 30000.0
100000 30081.0 30000.0
100000 28965.0 30000.0
100000 30081.0 30000.0
100000 30043.0 30000.0
100000 30036.0 30000.0
100000 30037.0 30000.0
100000 29060.0 30000.0
100000 28664.0 30000.0
100000 30108.0 30000.0
100000 30066.0 30000.0
100000 30073.0 30000.0
100000 29581.0 30000.0
100000 30031.0 30000.0
100000 28391.0 30000.0
100000 30056.0 30000.0
100000 30004.0 30000.0
