nbeval fitness
50 2791.0
50 2611.0
50 2485.0
50 2402.0
50 2423.0
50 2332.0
50 1884.0
50 2728.0
50 2207.0
50 2409.0
50 2560.0
50 2062.0
50 2322.0
50 2177.0
50 2215.0
50 2474.0
50 2494.0
50 2186.0
50 2537.0
50 2938.0
50 2480.0
50 2393.0
50 2372.0
50 2161.0
50 2099.0
50 2450.0
50 2068.0
50 2237.0
50 2544.0
50 2923.0
50 2474.0
50 2613.0
50 2647.0
50 2149.0
50 2334.0
50 2193.0
50 2389.0
50 2414.0
50 2431.0
50 2464.0
50 2075.0
50 2652.0
50 2470.0
50 2662.0
50 2399.0
50 2062.0
50 2213.0
50 2328.0
50 2128.0
50 2267.0
50 2593.0
50 2857.0
50 2345.0
50 2599.0
50 2393.0
50 2628.0
50 2702.0
50 2741.0
50 2768.0
50 1925.0
50 2183.0
50 2311.0
50 2429.0
50 2657.0
50 2528.0
50 2299.0
50 2771.0
50 2502.0
50 2270.0
50 2378.0
50 2400.0
50 2396.0
50 1922.0
50 2335.0
50 2191.0
50 2576.0
50 2433.0
50 2300.0
50 2308.0
50 2297.0
50 2272.0
50 2936.0
50 2249.0
50 2354.0
50 2513.0
50 2637.0
50 2662.0
50 2163.0
50 2662.0
50 2589.0
50 2803.0
50 2552.0
50 2095.0
50 2382.0
50 2449.0
50 2582.0
50 2078.0
50 2398.0
50 2434.0
50 2521.0
100 4410.0
100 4059.0
100 4612.0
100 3688.0
100 4674.0
100 4025.0
100 4684.0
100 4422.0
100 4104.0
100 4238.0
100 4284.0
100 4349.0
100 4512.0
100 4437.0
100 4102.0
100 4782.0
100 5602.0
100 4735.0
100 4405.0
100 4638.0
100 5081.0
100 4551.0
100 4632.0
100 4416.0
100 4278.0
100 4712.0
100 4246.0
100 4704.0
100 4925.0
100 4852.0
100 4699.0
100 4542.0
100 5330.0
100 4276.0
100 4538.0
100 4535.0
100 4598.0
100 4768.0
100 4872.0
100 4702.0
100 4901.0
100 4240.0
100 4531.0
100 4249.0
100 4650.0
100 4312.0
100 4058.0
100 4675.0
100 4652.0
100 4718.0
100 4637.0
100 4435.0
100 4565.0
100 4929.0
100 4602.0
100 3905.0
100 4712.0
100 4424.0
100 4482.0
100 4254.0
100 4661.0
100 4044.0
100 4532.0
100 4963.0
100 4859.0
100 3797.0
100 3922.0
100 4489.0
100 4986.0
100 4486.0
100 4236.0
100 3816.0
100 4674.0
100 4595.0
100 4834.0
100 4082.0
100 4887.0
100 3767.0
100 4898.0
100 4944.0
100 4089.0
100 4942.0
100 5108.0
100 5021.0
100 4486.0
100 4642.0
100 4920.0
100 5112.0
100 4769.0
100 4580.0
100 4645.0
100 4882.0
100 4774.0
100 4599.0
100 4926.0
100 5159.0
100 4246.0
100 4458.0
100 4784.0
100 4526.0
200 8752.0
200 9669.0
200 8934.0
200 8517.0
200 7843.0
200 8630.0
200 8000.0
200 8307.0
200 8333.0
200 8465.0
200 8071.0
200 8239.0
200 7113.0
200 7976.0
200 9086.0
200 7720.0
200 9189.0
200 8463.0
200 9321.0
200 8744.0
200 8104.0
200 7614.0
200 7880.0
200 7866.0
200 8176.0
200 7676.0
200 9076.0
200 8609.0
200 8186.0
200 7741.0
200 8213.0
200 8326.0
200 9093.0
200 8974.0
200 8223.0
200 7992.0
200 8750.0
200 8523.0
200 8012.0
200 8203.0
200 9210.0
200 7819.0
200 8087.0
200 9542.0
200 9005.0
200 8504.0
200 8464.0
200 8490.0
200 8321.0
200 8859.0
200 8544.0
200 8730.0
200 8525.0
200 8881.0
200 7929.0
200 8955.0
200 7945.0
200 8556.0
200 8246.0
200 9066.0
200 8865.0
200 8983.0
200 8847.0
200 8912.0
200 8327.0
200 8973.0
200 8655.0
200 8487.0
200 7713.0
200 7978.0
200 7439.0
200 9373.0
200 8643.0
200 8764.0
200 8001.0
200 7920.0
200 9139.0
200 7046.0
200 8424.0
200 7789.0
200 8738.0
200 8317.0
200 7574.0
200 8769.0
200 8825.0
200 8986.0
200 9427.0
200 8836.0
200 9079.0
200 8443.0
200 7557.0
200 8076.0
200 8003.0
200 7988.0
200 9418.0
200 7884.0
200 8150.0
200 6634.0
200 8652.0
200 8303.0
500 16038.0
500 15802.0
500 15234.0
500 16564.0
500 16519.0
500 15966.0
500 17067.0
500 17670.0
500 17872.0
500 16199.0
500 15973.0
500 16191.0
500 15698.0
500 15032.0
500 16835.0
500 15161.0
500 15637.0
500 15102.0
500 15888.0
500 15099.0
500 16668.0
500 16570.0
500 15977.0
500 17710.0
500 16137.0
500 16988.0
500 16001.0
500 15444.0
500 15011.0
500 15403.0
500 17016.0
500 15340.0
500 17164.0
500 16614.0
500 15947.0
500 16753.0
500 16148.0
500 15339.0
500 15624.0
500 17360.0
500 16886.0
500 15848.0
500 14934.0
500 14990.0
500 16765.0
500 16806.0
500 16511.0
500 16274.0
500 15818.0
500 16108.0
500 16416.0
500 14605.0
500 17037.0
500 16723.0
500 17002.0
500 17220.0
500 17098.0
500 15748.0
500 16928.0
500 14659.0
500 16796.0
500 16294.0
500 15498.0
500 15969.0
500 16961.0
500 17688.0
500 15656.0
500 15019.0
500 15916.0
500 15732.0
500 15664.0
500 16494.0
500 15848.0
500 16209.0
500 16328.0
500 15510.0
500 15683.0
500 15936.0
500 14756.0
500 16311.0
500 16628.0
500 15294.0
500 16999.0
500 17282.0
500 16622.0
500 17371.0
500 16395.0
500 16708.0
500 16927.0
500 15578.0
500 16574.0
500 16148.0
500 16458.0
500 15051.0
500 16058.0
500 16748.0
500 15053.0
500 15623.0
500 15425.0
500 15213.0
1000 22909.0
1000 20881.0
1000 23138.0
1000 21974.0
1000 21661.0
1000 21230.0
1000 23858.0
1000 22341.0
1000 21688.0
1000 22974.0
1000 21600.0
1000 21590.0
1000 23364.0
1000 22858.0
1000 22458.0
1000 21435.0
1000 20731.0
1000 21580.0
1000 20966.0
1000 22593.0
1000 23299.0
1000 21615.0
1000 20542.0
1000 20843.0
1000 20427.0
1000 22552.0
1000 21440.0
1000 21559.0
1000 23028.0
1000 23025.0
1000 22758.0
1000 23285.0
1000 24400.0
1000 22128.0
1000 22210.0
1000 21911.0
1000 21293.0
1000 22959.0
1000 21537.0
1000 21056.0
1000 21985.0
1000 21551.0
1000 21985.0
1000 23114.0
1000 22131.0
1000 21047.0
1000 23244.0
1000 22844.0
1000 22524.0
1000 23242.0
1000 22194.0
1000 20405.0
1000 21861.0
1000 19956.0
1000 22661.0
1000 22518.0
1000 22059.0
1000 19852.0
1000 22064.0
1000 21296.0
1000 21249.0
1000 21689.0
1000 23016.0
1000 20785.0
1000 22549.0
1000 21839.0
1000 20620.0
1000 20939.0
1000 22589.0
1000 20680.0
1000 20642.0
1000 23612.0
1000 21984.0
1000 22395.0
1000 23487.0
1000 21671.0
1000 22219.0
1000 22557.0
1000 22071.0
1000 22962.0
1000 21754.0
1000 22465.0
1000 21874.0
1000 22419.0
1000 21412.0
1000 22617.0
1000 21888.0
1000 22584.0
1000 23965.0
1000 22276.0
1000 21786.0
1000 22380.0
1000 21302.0
1000 23106.0
1000 22783.0
1000 22673.0
1000 21399.0
1000 22619.0
1000 21769.0
1000 21037.0
10000 26869.0
10000 27359.0
10000 27324.0
10000 26970.0
10000 26707.0
10000 28267.0
10000 28297.0
10000 27231.0
10000 27777.0
10000 27654.0
10000 27048.0
10000 27501.0
10000 27795.0
10000 27209.0
10000 27345.0
10000 28968.0
10000 27521.0
10000 27341.0
10000 27855.0
10000 26796.0
10000 27646.0
10000 27263.0
10000 28231.0
10000 27604.0
10000 28378.0
10000 26783.0
10000 27598.0
10000 27004.0
10000 26892.0
10000 28411.0
10000 27208.0
10000 27540.0
10000 28295.0
10000 27687.0
10000 27393.0
10000 27635.0
10000 27224.0
10000 28792.0
10000 26982.0
10000 27739.0
10000 27611.0
10000 27708.0
10000 27652.0
10000 28202.0
10000 26929.0
10000 27748.0
10000 27407.0
10000 27585.0
10000 26872.0
10000 28028.0
10000 27879.0
10000 27805.0
10000 27540.0
10000 28311.0
10000 26468.0
10000 28023.0
10000 28327.0
10000 26940.0
10000 27429.0
10000 27566.0
10000 27634.0
10000 27529.0
10000 27530.0
10000 26759.0
10000 27658.0
10000 27916.0
10000 27358.0
10000 27449.0
10000 26896.0
10000 27635.0
10000 27773.0
10000 28429.0
10000 26995.0
10000 28371.0
10000 27770.0
10000 27847.0
10000 27543.0
10000 27457.0
10000 26710.0
10000 26575.0
10000 28151.0
10000 27874.0
10000 27659.0
10000 27476.0
10000 28387.0
10000 27546.0
10000 26870.0
10000 27111.0
10000 28314.0
10000 27889.0
10000 27239.0
10000 27921.0
10000 27877.0
10000 27160.0
10000 27825.0
10000 28557.0
10000 27418.0
10000 27540.0
10000 27565.0
10000 27204.0
