nbeval fitness
50 27733.0
50 27083.0
50 28169.0
50 27348.0
50 28228.0
50 27292.0
50 28340.0
50 27123.0
50 27195.0
50 27460.0
50 27372.0
50 27344.0
50 27587.0
50 27207.0
50 27776.0
50 27049.0
50 27474.0
50 27665.0
50 27981.0
50 28119.0
50 27511.0
50 27817.0
50 27654.0
50 27253.0
50 26785.0
50 27419.0
50 26664.0
50 27902.0
50 27112.0
50 27808.0
50 27340.0
50 27303.0
50 27346.0
50 27220.0
50 27131.0
50 27922.0
50 27367.0
50 27669.0
50 27572.0
50 26870.0
50 27230.0
50 27590.0
50 27135.0
50 27892.0
50 27022.0
50 26908.0
50 28007.0
50 27074.0
50 28262.0
50 26846.0
50 27738.0
50 27107.0
50 27358.0
50 28652.0
50 27771.0
50 26586.0
50 27050.0
50 27747.0
50 27641.0
50 27577.0
50 27822.0
50 27306.0
50 28863.0
50 27084.0
50 27308.0
50 26917.0
50 27973.0
50 27179.0
50 27580.0
50 27226.0
50 27686.0
50 26940.0
50 27182.0
50 27069.0
50 27533.0
50 27403.0
50 26695.0
50 27263.0
50 27593.0
50 26991.0
50 27435.0
50 27898.0
50 27755.0
50 27593.0
50 26970.0
50 27092.0
50 27709.0
50 26955.0
50 27473.0
50 27002.0
50 27242.0
50 26995.0
50 26940.0
50 28197.0
50 28141.0
50 26969.0
50 27409.0
50 27982.0
50 27294.0
50 26635.0
100 28263.0
100 27849.0
100 27750.0
100 27602.0
100 27143.0
100 28229.0
100 27175.0
100 27758.0
100 27154.0
100 27574.0
100 27712.0
100 27804.0
100 27115.0
100 27640.0
100 28009.0
100 27589.0
100 27178.0
100 27351.0
100 28151.0
100 27069.0
100 27765.0
100 27780.0
100 27393.0
100 27707.0
100 27649.0
100 27393.0
100 27587.0
100 27096.0
100 28264.0
100 27455.0
100 27312.0
100 28516.0
100 27497.0
100 28106.0
100 28095.0
100 28086.0
100 27866.0
100 28000.0
100 27777.0
100 27413.0
100 28112.0
100 27336.0
100 27173.0
100 27807.0
100 27724.0
100 27877.0
100 27718.0
100 27616.0
100 27499.0
100 27570.0
100 27884.0
100 27966.0
100 27571.0
100 27870.0
100 27873.0
100 27569.0
100 27501.0
100 27879.0
100 28216.0
100 27449.0
100 27632.0
100 27528.0
100 28645.0
100 27282.0
100 27915.0
100 28852.0
100 27877.0
100 27567.0
100 27461.0
100 27374.0
100 27095.0
100 28006.0
100 27012.0
100 28209.0
100 27615.0
100 27665.0
100 27252.0
100 27510.0
100 27645.0
100 28189.0
100 27000.0
100 27299.0
100 27086.0
100 27225.0
100 27257.0
100 28343.0
100 27637.0
100 27187.0
100 27451.0
100 27444.0
100 27597.0
100 27035.0
100 27413.0
100 27775.0
100 27328.0
100 27849.0
100 27592.0
100 27566.0
100 27644.0
100 27701.0
200 28189.0
200 27323.0
200 27475.0
200 27918.0
200 27422.0
200 27637.0
200 27588.0
200 27954.0
200 27545.0
200 27532.0
200 27637.0
200 27089.0
200 27858.0
200 27768.0
200 27869.0
200 27551.0
200 28210.0
200 28622.0
200 27647.0
200 27836.0
200 28381.0
200 27749.0
200 27298.0
200 27715.0
200 28831.0
200 27968.0
200 28328.0
200 27983.0
200 27488.0
200 27983.0
200 27734.0
200 28451.0
200 27605.0
200 27850.0
200 28562.0
200 27916.0
200 27986.0
200 28605.0
200 27558.0
200 28110.0
200 27680.0
200 27709.0
200 28120.0
200 28245.0
200 27611.0
200 27605.0
200 28391.0
200 28158.0
200 27437.0
200 28478.0
200 28873.0
200 27403.0
200 27977.0
200 27888.0
200 27905.0
200 27794.0
200 28130.0
200 27712.0
200 27472.0
200 28326.0
200 27647.0
200 27640.0
200 27604.0
200 28046.0
200 27627.0
200 28681.0
200 27592.0
200 27659.0
200 27900.0
200 27498.0
200 27734.0
200 28431.0
200 27934.0
200 28370.0
200 27808.0
200 28070.0
200 27351.0
200 27638.0
200 27798.0
200 28377.0
200 27380.0
200 27743.0
200 27815.0
200 28615.0
200 28654.0
200 28051.0
200 27727.0
200 27834.0
200 27773.0
200 28041.0
200 28036.0
200 27643.0
200 27544.0
200 28072.0
200 28066.0
200 28142.0
200 28799.0
200 27659.0
200 28210.0
200 28388.0
500 28988.0
500 27739.0
500 28674.0
500 28399.0
500 28570.0
500 28308.0
500 28175.0
500 28173.0
500 28594.0
500 28690.0
500 27951.0
500 28286.0
500 28346.0
500 27908.0
500 28175.0
500 28960.0
500 27637.0
500 27886.0
500 27927.0
500 27621.0
500 28091.0
500 28460.0
500 27977.0
500 28414.0
500 28321.0
500 28045.0
500 28638.0
500 27708.0
500 27574.0
500 28841.0
500 27604.0
500 28337.0
500 27944.0
500 27865.0
500 28043.0
500 27796.0
500 28105.0
500 28070.0
500 28182.0
500 28770.0
500 28028.0
500 28021.0
500 28180.0
500 28535.0
500 27977.0
500 28131.0
500 28054.0
500 29210.0
500 28486.0
500 27501.0
500 27868.0
500 28566.0
500 28380.0
500 28882.0
500 28354.0
500 28555.0
500 28387.0
500 27828.0
500 28600.0
500 28156.0
500 27855.0
500 29178.0
500 27879.0
500 28200.0
500 28640.0
500 28380.0
500 27734.0
500 28006.0
500 28213.0
500 28030.0
500 27851.0
500 27900.0
500 27970.0
500 27892.0
500 27578.0
500 27800.0
500 28437.0
500 27840.0
500 28498.0
500 28351.0
500 27839.0
500 27991.0
500 28467.0
500 27592.0
500 28363.0
500 28322.0
500 28480.0
500 28298.0
500 27871.0
500 28237.0
500 28208.0
500 29182.0
500 28298.0
500 29462.0
500 28179.0
500 28854.0
500 28756.0
500 28631.0
500 27975.0
500 28110.0
1000 28305.0
1000 28642.0
1000 28672.0
1000 28425.0
1000 28460.0
1000 28312.0
1000 28467.0
1000 29064.0
1000 28267.0
1000 27906.0
1000 28721.0
1000 28130.0
1000 28936.0
1000 28303.0
1000 28768.0
1000 28269.0
1000 28344.0
1000 28943.0
1000 28290.0
1000 28752.0
1000 28199.0
1000 28613.0
1000 28570.0
1000 28754.0
1000 28198.0
1000 28239.0
1000 28423.0
1000 28785.0
1000 28238.0
1000 28309.0
1000 28595.0
1000 28217.0
1000 28107.0
1000 28180.0
1000 28141.0
1000 28739.0
1000 28068.0
1000 28269.0
1000 28429.0
1000 28784.0
1000 28264.0
1000 28293.0
1000 28746.0
1000 28393.0
1000 28398.0
1000 27828.0
1000 28349.0
1000 28050.0
1000 28185.0
1000 28630.0
1000 28567.0
1000 28423.0
1000 28499.0
1000 28204.0
1000 28455.0
